"Sport","Name","Height","Weight","Age"
"Athletics","Abdul Wahab Zahiri",175,68,24
"Athletics","Kamia Yousufi",165,55,20
"Judo","Mohammad Tawfiq Bakhshi",181,99,30
"Swimming","Sidni Hoxha",193,86,24
"Athletics","Luiza Gega",159,45,27
"Swimming","Nikol Merizaj",180,65,17
"Alpine Skiing","Suela Mhilli",163,56,20
"Weightlifting","Evagjelia Veli",160,52,25
"Athletics","Izmir Smajlaj",195,86,23
"Alpine Skiing","Suela Mhilli",163,56,20
"Weightlifting","Briken Calja",170,69,26
"Gymnastics","Farah Boufadene",155,55,17
"Gymnastics","Farah Boufadene",155,55,17
"Athletics","Taoufik Makhloufi",170,67,28
"Boxing","Chouaib Bouloudinats",183,91,29
"Boxing","Mohamed Flissi",162,49,26
"Gymnastics","Farah Boufadene",155,55,17
"Gymnastics","Farah Boufadene",155,55,17
"Athletics","Mohammed El-Amine Belferar",175,65,25
"Athletics","Taoufik Makhloufi",170,67,28
"Wrestling","Adem Boudjemline",180,85,22
"Football","Ryad Qamar Al-Din Keniche",185,75,23
"Judo","Houd Zourdani",165,66,22
"Football","Sofiane Bendebka",170,65,23
"Fencing","Hamid (Victor-) Sints",169,67,35
"Boxing","Abdelhafid Benchabla",184,81,29
"Swimming","Oussama Sahnoune",190,90,24
"Cycling","Youcef Reguigui",173,69,26
"Wrestling","Hemza Haloui",180,96,22
"Judo","Mohammed Amine Tayeb",190,100,30
"Football","Haris Belkebla",178,70,22
"Football","Ayoub Abdellaoui",184,68,23
"Rowing","Sid Ali Boudina",178,73,26
"Cycling","Abderrahmane Mansouri",173,66,21
"Boxing","Zohir Kedache",178,69,30
"Athletics","Salim Keddar",176,65,22
"Boxing","Reda Benbaziz",175,60,22
"Athletics","El-Hadi Laameche",165,60,26
"Boxing","Ilyas Abbadi",175,75,23
"Sailing","Katia Belabbas",170,65,20
"Judo","Sonia Asselah",176,78,24
"Football","Miloud Rebiai",170,65,22
"Athletics","Larbi Bourrada",188,88,28
"Football","Baghdad Bounedjah",189,75,24
"Fencing","Anissa Khelfaoui (-Nassonenko)",168,62,24
"Football","Rachid Ait Atmane",190,76,23
"Football","Houari Ferhani",168,60,23
"Football","Farid Chaal",196,80,22
"Athletics","Yassine Hethat",175,65,24
"Swimming","Oussama Sahnoune",190,90,24
"Rowing","Amina Rouba",173,60,29
"Athletics","Bilal Tabti",175,62,23
"Football","Meziane Ben Tahar",168,62,22
"Sailing","Hamza Bouras",170,73,28
"Shooting","Chafik Bouaoud",177,74,17
"Athletics","Abdelmalik Lahoulou",177,72,24
"Athletics","Hakim Sadi",176,56,23
"Wrestling","Tarek Aziz Benaissa",170,66,25
"Weightlifting","Bouchra Fatima Al-Zohra Hirech",170,77,15
"Weightlifting","Walid Bidani",185,125,22
"Athletics","Kenza Tifahi Dahmani",164,54,35
"Football","Abdelraouf Benguit",170,65,20
"Football","Oussama Methazem",187,80,22
"Boxing","Abdelkader Chadi",175,60,29
"Football","Mohamed Benkhemassa",175,60,23
"Boxing","Fahem Hammachi",178,56,24
"Judo","Lyes Bouyacoub",185,100,33
"Athletics","Amina Bettiche",165,55,28
"Gymnastics","Mohamed Abdeldjalil Bourguieg",164,50,19
"Athletics","Souad At Salem (-Mahour-Bacha)",158,50,37
"Athletics","Ali Massaoudi",178,63,20
"Athletics","Hicham Bouchicha",182,64,27
"Sailing","Imne Ouneissa Cherif Sahraoui",165,64,20
"Gymnastics","Mohamed Abdeldjalil Bourguieg",164,50,19
"Football","Zakarya Haddouche",170,65,22
"Gymnastics","Mohamed Abdeldjalil Bourguieg",164,50,19
"Football","Mohammed Benkablia",180,72,23
"Judo","Abderrahmane Benamadi",183,90,31
"Gymnastics","Mohamed Abdeldjalil Bourguieg",164,50,19
"Gymnastics","Mohamed Abdeldjalil Bourguieg",164,50,19
"Football","Abdelghani Demmou",185,75,27
"Football","Zakaria Draoui",160,60,22
"Athletics","Miloud Rahmouni",178,62,33
"Football","Oussama Darfalou",187,75,22
"Gymnastics","Mohamed Abdeldjalil Bourguieg",164,50,19
"Judo","Laura Salls Lpez",169,63,30
"Snowboarding","Llus Marn Tarroch",185,85,25
"Biathlon","Laure Souli",160,49,26
"Alpine Skiing","Joan Verd Snchez",178,70,18
"Swimming","Pol Arias Dourdet",175,80,19
"Alpine Skiing","Kevin Esteve Rigail",180,80,24
"Biathlon","Laure Souli",160,49,26
"Alpine Skiing","Mireia Gutirrez Cabanes",162,60,25
"Alpine Skiing","Marc Oliveras",173,75,22
"Alpine Skiing","Marc Oliveras",173,75,22
"Shooting","Esther Barrugus Alvina",164,60,36
"Alpine Skiing","Marc Oliveras",173,75,22
"Athletics","Pol Moya Betriu",178,62,19
"Alpine Skiing","Mireia Gutirrez Cabanes",162,60,25
"Alpine Skiing","Marc Oliveras",173,75,22
"Alpine Skiing","Mireia Gutirrez Cabanes",162,60,25
"Handball","Lusa Kiala",174,62,34
"Handball","Juliana Jos Machado",175,60,21
"Rowing","Jean-Luc Rasamoelina",180,77,26
"Handball","Cristina Direito Branco",172,68,31
"Handball","Janete Viegas dos Santos",175,68,25
"Handball","Natlia Maria Bernardo",170,65,29
"Handball","Magda Alfredo Cazanga",172,54,25
"Swimming","Ana Sofia Nbrega",174,70,25
"Athletics","Hermenegildo Leite",171,63,16
"Handball","Liliana da Silva Venncio",180,93,20
"Athletics","Liliana Estefania Neto",166,57,19
"Sailing","Paixo Afonso",176,80,25
"Handball","Neyde Marisa Pina Barbosa",175,87,35
"Sailing","Matias Montinho",167,68,26
"Handball","Teresa Patrcia Almeida",170,98,28
"Handball","Albertina da Cruz Kassoma",192,105,20
"Sailing","Manuel Lelo",172,70,28
"Swimming","Pedro Miguel Alves Pinotes",185,70,26
"Shooting","Joo Paulo de Leiria e Silva",176,90,51
"Handball","Isabel Evelize Wangimba Guialo",168,73,36
"Handball","Wuta Waco Bige Dombaxi",180,92,30
"Handball","Lurdes Marcelina Manuel Monteiro",170,63,32
"Handball","Vilma Pegado Nenganga",170,59,19
"Judo","Antnia Moreira De Fatima",172,70,34
"Handball","Azenaide Danila Jos Carlos",175,69,26
"Rowing","Andr Matias",180,76,27
"Athletics","Cejhae Colin Greene",174,72,20
"Athletics","Chavaughn Camarley Walsh",180,66,28
"Athletics","Tahir Jelani Walsh",182,91,22
"Athletics","Cejhae Colin Greene",174,72,20
"Swimming","Noah Mascoll-Gomes",175,68,17
"Athletics","Priscilla Frederick",178,68,27
"Swimming","Samantha Roberts",172,64,16
"Athletics","Daniel Everton Bailey",179,68,29
"Hockey","Juan Ignacio Gilardi",186,91,34
"Volleyball","Ezequiel Palacios",198,95,23
"Rugby Sevens","Bautista Ezcurra",181,88,21
"Tennis","Federico Delbonis",190,88,25
"Boxing","Alberto Ignacio Palmetta",175,64,26
"Rugby Sevens","Juan Pablo Estelles",187,91,28
"Synchronized Swimming","Sofa Snchez",171,57,26
"Football","Mauricio Martnez",174,66,23
"Handball","Fernando Gabriel Garca",190,91,34
"Hockey","Joaqun Menini",182,76,24
"Volleyball","Alexis Rubn Gonzlez",184,85,35
"Hockey","Mara Beln Succi",177,72,30
"Tennis","Federico Delbonis",190,88,25
"Sailing","Lucia Falasca",171,64,23
"Handball","Pablo Vainstein",184,89,27
"Hockey","Julia Mailn Gomes Fantasia",165,60,24
"Basketball","Gabriel Alejandro Deck",197,107,21
"Shooting","Melisa Gil",160,65,31
"Rowing","Luca Fernanda Palermo",173,59,30
"Handball","Antonela Luca Mena",180,84,28
"Football","Gernimo Rulli",188,80,24
"Hockey","Juan Martn Lpez",178,74,31
"Football","Jonathan Calleri",179,75,22
"Judo","Emmanuel Lucenti",180,81,31
"Cycling","Daniel Ricardo Daz",168,63,27
"Hockey","Mara Florencia ""Flor"" Mutio",171,68,31
"Sailing","Mara Branz",170,68,26
"Volleyball","Yael Castiglione",184,75,30
"Beach Volleyball","Georgina Klug",172,63,32
