"","Year","Female_Count","Male_Count","FemRate","MaleRate"
"1",1896,0,380,0,1
"2",1900,33,1903,0.0170454545454545,0.982954545454545
"3",1904,16,1285,0.0122982321291314,0.987701767870869
"4",1906,11,1722,0.00634737449509521,0.993652625504905
"5",1908,47,3054,0.0151564011609158,0.984843598839084
"6",1912,87,3953,0.0215346534653465,0.978465346534653
"7",1920,134,4158,0.0312208760484623,0.968779123951538
"8",1924,261,5432,0.0458457755137889,0.954154224486211
"9",1928,437,5137,0.0783997129529961,0.921600287047004
"10",1932,369,2952,0.111111111111111,0.888888888888889
"11",1936,549,6852,0.0741791649777057,0.925820835022294
"12",1948,761,6719,0.101737967914438,0.898262032085562
"13",1952,1682,7676,0.179739260525753,0.820260739474247
"14",1956,1139,5295,0.177028287224122,0.822971712775878
"15",1960,1730,7505,0.18733080671359,0.81266919328641
"16",1964,1752,7728,0.184810126582278,0.815189873417722
"17",1968,2193,8286,0.209275694245634,0.790724305754366
"18",1972,2608,9351,0.218078434651727,0.781921565348273
"19",1976,2606,7896,0.248143210816987,0.751856789183013
"20",1980,2186,6751,0.244601096564843,0.755398903435157
"21",1984,2983,8605,0.25742147048671,0.74257852951329
"22",1988,4223,10453,0.28774870536931,0.71225129463069
"23",1992,5178,11235,0.315481630414915,0.684518369585085
"24",1994,1105,2055,0.349683544303797,0.650316455696203
"25",1996,5008,8772,0.363425253991292,0.636574746008708
"26",1998,1384,2221,0.383911234396671,0.616088765603329
"27",2000,5431,8390,0.392952753056942,0.607047246943058
"28",2002,1582,2527,0.385008517887564,0.614991482112436
"29",2004,5546,7897,0.412556720970022,0.587443279029978
"30",2006,1757,2625,0.400958466453674,0.599041533546326
"31",2008,5816,7786,0.427584178797236,0.572415821202764
"32",2010,1847,2555,0.419582008178101,0.580417991821899
"33",2012,5815,7105,0.450077399380805,0.549922600619195
"34",2014,2023,2868,0.413616847270497,0.586383152729503
"35",2016,6223,7465,0.454631794272355,0.545368205727645
