"","region","Gold_Count","Silver_Count","Bronze_Count","Total_Medals"
"1","USA",1131,901,791,2823
"2","Russia",727,600,589,1916
"3","Germany",578,592,596,1766
"4","UK",289,320,310,919
"5","France",264,286,329,879
"6","Italy",256,225,241,722
"7","Sweden",200,215,242,657
"8","China",240,185,173,598
"9","Australia",156,174,201,531
"10","Hungary",178,156,176,510
"11","Japan",152,151,179,482
"12","Canada",126,160,189,475
"13","Norway",167,159,148,474
"14","Finland",146,148,177,471
"15","Netherlands",125,133,149,407
"16","Switzerland",108,122,116,346
"17","Austria",85,118,123,326
"18","South Korea",116,102,98,316
"19","Poland",75,94,141,310
"20","Romania",88,95,121,304
"21","Czech Republic",73,85,98,256
"22","Bulgaria",52,88,83,223
"23","Cuba",77,67,70,214
"24","Denmark",49,82,80,211
"25","Belgium",45,60,66,171
"26","Greece",42,57,52,151
"27","Spain",45,63,42,150
"28","Ukraine",37,33,63,133
"29","Brazil",30,36,62,128
"30","New Zealand",47,28,44,119
"31","Serbia",31,42,38,111
"32","Kenya",31,38,31,100
"33","Belarus",19,32,48,99
"34","Turkey",40,27,28,95
"35","South Africa",25,33,30,88
"36","Kazakhstan",20,25,32,77
"37","Jamaica",22,32,22,76
"38","Argentina",21,25,28,74
"39","Iran",18,21,29,68
"40","Mexico",13,24,30,67
"41","North Korea",16,16,24,56
"42","Ethiopia",22,9,22,53
"43","Azerbaijan",7,12,25,44
"44","Croatia",15,16,13,44
"45","Estonia",13,11,17,41
"46","Slovenia",7,12,19,38
"47","Uzbekistan",10,7,17,34
"48","Ireland",9,11,13,33
"49","Slovakia",11,13,9,33
"50","Georgia",8,6,18,32
"51","Indonesia",7,12,11,30
"52","Thailand",9,8,13,30
"53","India",10,7,12,29
"54","Colombia",5,9,14,28
"55","Egypt",7,8,12,27
"56","Latvia",3,15,8,26
"57","Mongolia",2,10,14,26
"58","Lithuania",6,6,13,25
"59","Nigeria",3,8,13,24
"60","Portugal",4,8,12,24
"61","Taiwan",3,7,14,24
"62","Morocco",6,5,12,23
"63","Trinidad",3,5,13,21
"64","Algeria",5,4,8,17
"65","Armenia",2,5,9,16
"66","Venezuela",2,3,10,15
"67","Bahamas",6,2,6,14
"68","Chile",2,7,4,13
"69","Tunisia",3,3,7,13
"70","Malaysia",0,7,4,11
"71","Pakistan",3,3,4,10
"72","Philippines",0,3,7,10
"73","Uruguay",2,2,6,10
"74","Israel",1,1,7,9
"75","Liechtenstein",2,2,5,9
"76","Puerto Rico",1,2,6,9
"77","Luxembourg",4,4,0,8
"78","Zimbabwe",3,4,1,8
"79","Dominican Republic",3,2,2,7
"80","Moldova",0,2,5,7
"81","Uganda",2,3,2,7
"82","Cameroon",3,1,1,5
"83","Individual Olympic Athletes",1,1,3,5
"84","Qatar",0,1,4,5
"85","Singapore",1,2,2,5
"86","Syria",1,2,2,5
"87","Costa Rica",1,1,2,4
"88","Ghana",0,1,3,4
"89","Iceland",0,2,2,4
"90","Lebanon",0,2,2,4
"91","Namibia",0,4,0,4
"92","Peru",1,3,0,4
"93","Tajikistan",1,1,2,4
"94","Vietnam",1,3,0,4
"95","Bahrain",1,1,1,3
"96","Haiti",1,1,1,3
"97","Ivory Coast",1,1,1,3
"98","Kyrgyzstan",0,1,2,3
"99","Panama",1,0,2,3
"100","Saudi Arabia",0,1,2,3
"101","Afghanistan",0,0,2,2
"102","Burundi",1,1,0,2
"103","Ecuador",1,1,0,2
"104","Grenada",1,1,0,2
"105","Kuwait",0,0,2,2
"106","Mozambique",1,0,1,2
"107","Niger",0,1,1,2
"108","Sri Lanka",0,2,0,2
"109","Suriname",1,0,1,2
"110","Tanzania",0,2,0,2
"111","United Arab Emirates",1,0,1,2
"112","Zambia",0,1,1,2
"113","Barbados",0,0,1,1
"114","Bermuda",0,0,1,1
"115","Botswana",0,1,0,1
"116","Curacao",0,1,0,1
"117","Cyprus",0,1,0,1
"118","Djibouti",0,0,1,1
"119","Eritrea",0,0,1,1
"120","Fiji",1,0,0,1
"121","Gabon",0,1,0,1
"122","Guatemala",0,1,0,1
"123","Guyana",0,0,1,1
"124","Iraq",0,0,1,1
"125","Jordan",1,0,0,1
"126","Kosovo",1,0,0,1
"127","Macedonia",0,0,1,1
"128","Mauritius",0,0,1,1
"129","Monaco",0,0,1,1
"130","Montenegro",0,1,0,1
"131","Nepal",1,0,0,1
"132","Paraguay",0,1,0,1
"133","Senegal",0,1,0,1
"134","Sudan",0,1,0,1
"135","Togo",0,0,1,1
"136","Tonga",0,1,0,1
"137","Virgin Islands, US",0,1,0,1
